doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT04080661,clinicaltrials,Evaluation of the Predictive Value of Early Serum Trough Concentrations and Anti-drug Antibodies of Secukinumab and the Development of a Concentration Response Curve of Secukinumab for Psoriasis Patients.,https://clinicaltrials.gov/study/NCT04080661,secukinumab,open,,1,si
NCT04083612,clinicaltrials,Evaluation of the Predictive Value of Early Serum Trough Concentrations and Anti-drug Antibodies of Ixekizumab and the Development of Concentration-response Curve of Ixekizumab for Psoriasis Patients,https://clinicaltrials.gov/study/NCT04083612,ixekizumab,open,,1,si
NCT04102007,clinicaltrials,"A Phase 3b, Multicenter, Interventional, Open-label Study of Adult Subjects With Moderate to Severe Plaque Psoriasis Who Have a Suboptimal Response to Secukinumab or Ixekizumab and Are Switched to Risankizumab",https://clinicaltrials.gov/study/NCT04102007,ixekizumab; secukinumab,open,,8,si
NCT04133506,clinicaltrials,Defining a PGE2 Pathway in Regulating Eczema,https://clinicaltrials.gov/study/NCT04133506,plaque_psoriasis,open,,4,si
NCT04175613,clinicaltrials,"A Phase 3b, Multi Center, Open-label, Long-term Extension Study of Apremilast (CC-10004) in Pediatric Subjects From 6 Through 17 Years of Age With Moderate to Severe Plaque Psoriasis",https://clinicaltrials.gov/study/NCT04175613,apremilast,open,,1,no
NCT04209205,clinicaltrials,"A Randomized, Double-blind, Placebo-controlled, Parallel Group, Phase III Multicenter Study of Intravenous Secukinumab to Compare Efficacy at 16 Weeks With Placebo and to Assess Safety and Tolerability up to 52 Weeks in Subjects With Active Psoriatic Arthritis",https://clinicaltrials.gov/study/NCT04209205,secukinumab,open,,18,si
NCT04340076,clinicaltrials,"Dose Reduction of the New Generation Biologicals (IL17 and IL23 Inhibitors) in Psoriasis: A Pragmatic, Multicentre, Randomized, Controlled, Non-inferiority Study - BeNeBio Study",https://clinicaltrials.gov/study/NCT04340076,ixekizumab,open,,1,si
NCT04347798,clinicaltrials,IMPact of Inflammatory Arthritis on COVID-19 sTudy of the RAPPORT-ONTRAAC and FORCAST Rheumatic Disease Registries,https://clinicaltrials.gov/study/NCT04347798,plaque_psoriasis,open,,4,si
NCT04372277,clinicaltrials,"Open Label Study, Evaluating Taltz in Combination With Enstilar (Calcipotriene and Betamethasone Dipropionate) Foam in Psoriasis Patients",https://clinicaltrials.gov/study/NCT04372277,ixekizumab,open,,1,si
NCT04414605,clinicaltrials,Oral Chinese Herbal Medicine Formula (Gu Ben Hua Yu Fang) Concurrent With Secukinumab for Severe Plaque Psoriasis,https://clinicaltrials.gov/study/NCT04414605,secukinumab,open,,1,no
