doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT04451304,clinicaltrials,Cardiorespiratory Autonomic Reflexes During Superselective Ophthalmic Artery Chemotherapy for Retinoblastoma in Children: a Prospective Observational Study.,https://clinicaltrials.gov/study/NCT04451304,retinoblastoma,open,,1,si
NCT04455139,clinicaltrials,"A Phase II Prospective International Multicenter Clinical Trial for Eyes With Relapsed Retinoblastoma, With Randomization Depending on the Site of Relapse or on Previous Treatment",https://clinicaltrials.gov/study/NCT04455139,melphalan; topotecan,open,,2,si
NCT04564521,clinicaltrials,"The Effect of Nitroglycerin on the Incidence of Cardiorespiratory Side Effect During the Intra-arterial Chemotherapy in Pediatric Patients With Retinoblastoma: a Randomized, Double-blind, Placebo-controlled, Crossover Study",https://clinicaltrials.gov/study/NCT04564521,retinoblastoma,open,,4,si
NCT04681417,clinicaltrials,Ocular Conservative Treatment for Retinoblastoma: Efficacy of the New Management Strategies and Visual Outcome - RETINO 2018,https://clinicaltrials.gov/study/NCT04681417,carboplatin; etoposide; melphalan; topotecan; vincristine,open,,1,si
NCT04700514,clinicaltrials,Effect of Anesthetic Drugs on Neurocognitive Function in Children With Retinoblastoma Requiring Multiple Anesthetic Exposure - Preliminary Study,https://clinicaltrials.gov/study/NCT04700514,retinoblastoma,open,,1,si
NCT04799002,clinicaltrials,Choice of Topotecan or Melphalan in Retinoblastoma Patients,https://clinicaltrials.gov/study/NCT04799002,melphalan; topotecan,open,,1,si
NCT04903678,clinicaltrials,Intrathecal Chemotherapy for Central Nervous System Metastasis in Retinoblastoma (A Multicenter Prospective Single Arm Trial),https://clinicaltrials.gov/study/NCT04903678,melphalan,open,,3,si
NCT04990271,clinicaltrials,A Clinical Study on the Efficacy and Safety of VEC Intravenous Chemotherapy Combined With Conbercept Intravitreal Injection in the Treatment of Retinoblastoma,https://clinicaltrials.gov/study/NCT04990271,retinoblastoma,open,,1,si
NCT05028270,clinicaltrials,Clinical Study of Superselective Ophthalmic Artery Interventional Chemotherapy for Intraocular Retinoblastoma,https://clinicaltrials.gov/study/NCT05028270,carboplatin; topotecan,open,,1,si
NCT05080010,clinicaltrials,Three Cycles of Adjuvant Chemotherapy for the Patients With High-risk Retinoblastoma After Enucleation: Prospective Study,https://clinicaltrials.gov/study/NCT05080010,carboplatin; etoposide; vincristine,open,,1,si
